"Crop","ScientificName","Symbol","NuContAvailable","PlantPartHarvested","CropCategory","YieldUnit","AvYieldUnitWeight(lb)","AvMoisture%","AvN%(dry)","AvP%(dry)","AvK%(dry)","YieldUnitWeight(lb)_set","YieldUnitWeight(lb)_Bau","YieldUnitWeight(lb)_Joh","YieldUnitWeight(lb)_Roberts","YieldUnitWeight(lb)_WEEP","YieldUnitWeight(lb)_Men","YieldUnitWeight(lb)_Guy","YieldUnitWeight(lb)_Mc","YieldUnitWeight(lb)_Mah","YieldUnitWeight(lb)_Sha","YieldUnitWeight(lb)_Sch","YieldUnitWeight(lb)_Atu","YieldUnitWeight(lb)_Zim","YieldUnitWeight(lb)_Scu","YieldUnitWeight(lb)_John","YieldUnitWeight(lb)_Arc","DryMatter%_M-FF","DryMatter%_NAS","DryMatter%_F&L","DryMatter%_F&N","DryMatter%_Alb","DryMatter%_Est1","DryMatter%_Est2","DryMatter%_Est3","DryMatter%_Est4","DryMatter%_Est5","DryMatter%_Est6","DryMatter%_M&R","DryMatter%_M&L","DryMatter%_Sun","DryMatter%_Gro","DryMatter%_AgH8-9","DryMatter%_AgH8-12","DryMatter%_B788","AvDryMatter%","N%(dry)_NAS","N%(dry)_F&L","N%(dry)_F&N","N%(dry)_Swa","N%(dry)_Chapko","N%(dry)_Hill","N%(dry)_Bru","N%(dry)_AgH8-9","N%(dry)_AgH8-12","N%(dry)_B788","N%(dry)_M&L","N%(dry)_M-FF","N%(dry)_M&R","N%(dry)_Foster","N%(dry)_Rob1","N%(dry)_Rob2","N%(dry)_Coa","N%(dry)_And","N%(dry)_Gol1","N%(dry)_Gol2","N%(dry)_Wol","N%(dry)_Pete","N%(dry)_Col","N%(dry)_Alb","N%(dry)_Arc","N%(dry)_Bis","N%(dry)_Gar","N%(dry)_Heg","N%(dry)_Flo","N%(dry)_Feil","N%(dry)_Bre","N%(dry)_Burns","N%(dry)_Coc","P%(dry)_M-FF","P%(dry)_NAS","P%(dry)_F&L","P%(dry)_F&N","P%(dry)_AgH8-9","P%(dry)_AgH8-12","P%(dry)_B788","P%(dry)_M&L","P%(dry)_L&V","P%(dry)_Foster","P%(dry)_Rob1","P%(dry)_Rob2","P%(dry)_Coa","P%(dry)_And","P%(dry)_Gol1","P%(dry)_Gol2","P%(dry)_Sims","P%(dry)_Wol","P%(dry)_Pete","P%(dry)_Col","P%(dry)_Alb","P%(dry)_Arc","P%(dry)_Swa","P%(dry)_Rei","K%(dry)_M-FF","K%(dry)_NAS","K%(dry)_F&L","K%(dry)_F&N","K%(dry)_AgH8-9","K%(dry)_AgH8-12","K%(dry)_B788","K%(dry)_Foster","K%(dry)_Rob1","K%(dry)_Rob2","K%(dry)_Coa","K%(dry)_And","K%(dry)_Gol1","K%(dry)_Gol2","K%(dry)_Sims","K%(dry)_Wol","K%(dry)_Pete","K%(dry)_Col","K%(dry)_Alb","K%(dry)_Arc","K%(dry)_Swa","K%(dry)_Rei","Moisture%_M&R","Moisture%_M&L","Moisture%_Sun","Moisture%_Gro","gWater/100g_AgH8-9","gWater/100g_AgH8-12","gWater/100g_B788","Protein%(dry)_NAS","Protein%(dry)_F&L","Protein%(dry)_F&N","Protein%(dry)_Swa","Protein%(dry)_Chapko","Protein%(dry)_Hill","Protein%(dry)_Bru","Protein%(dry)_Bis","Protein%(dry)_Gar","Protein%(dry)_Heg","Protein%(dry)_Flo","Protein%(dry)_Feil","Protein%(dry)_Bre","Protein%(dry)_Burns","gProtein/100g(wet)_AgH8-9","gProtein/100g(wet)_AgH8-12","gProtein/100g(wet)_B788","Protein%(wet)_M&L","N%(wet)_M-FF","P%(wet)_M-FF","gP/100g(wet)_AgH8-9","gP/100g(wet)_AgH8-12","gP/100g(wet)_B788","P%(wet)_M&L","K%(wet)_M-FF","gK/100g(wet)_AgH8-9","gK/100g(wet)_AgH8-12","gK/100g(wet)_B788"
"Alfalfa, for hay (mid bloom, cut 3)","Medicago sativa","MESA","N","Aboveground biomass","Forage","ton","2000","11.60","3.008","#DIV/0!","#DIV/0!","2,000",,,,,,,,,,,,,,,,,,"88.4",,,,,,,,,,,,,,,,"88.40",,"3.008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18.8",,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa, for hay (pre bloom)","Medicago sativa","MESA","N,P,K","Aboveground biomass","Forage","ton","2000","11.34","3.3889635359","0.33616022099","2.436160221","2,000",,,,,,,,,,,,,,,,"90.5","87.5","90.3","90",,,,,,,,"85",,,,,,,"88.66","3.2","3.552","3.6",,,,,,,,,"3.2928176796","3.3",,,,,,,,,,,,,,,,,,,,,"0.36464088398","0.36","0.29","0.33",,,,,,,,,,,,,,,,,,,,,"2.364640884","2.36","2.51","2.51",,,,,,,,,,,,,,,,,,,"15",,,,,,,"20","22.2","22.5",,,,,,,,,,,,,,,,"2.98","0.33",,,,,"2.14",,,
"Alfalfa, for hay (pre bloom, cut 1)","Medicago sativa","MESA","N,P,K","Aboveground biomass","Forage","ton","2000","17.40","2.528","0.29","2.8","2,000",,,,,,,,,,,,,,,,,"82.6",,,,,,,,,,,,,,,,,"82.60","2.528",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.29",,,,,,,,,,,,,,,,,,,,,,,,"2.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15.8",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa, for hay (pre bloom, cut 2)","Medicago sativa","MESA","N","Aboveground biomass","Forage","ton","2000","14.00","2.496","#DIV/0!","#DIV/0!","2,000",,,,,,,,,,,,,,,,,"86",,,,,,,,,,,,,,,,,"86.00","2.496",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15.6",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa, for hay (pre bloom, cut 3)","Medicago sativa","MESA","N","Aboveground biomass","Forage","ton","2000","15.40","3.168","#DIV/0!","#DIV/0!","2,000",,,,,,,,,,,,,,,,,"84.6",,,,,,,,,,,,,,,,,"84.60","3.168",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19.8",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa, for hay (late vegetative, cut 1)","Medicago sativa","MESA","N,P,K","Aboveground biomass","Forage","ton","2000","12.40","3.184","0.28","2.8","2,000",,,,,,,,,,,,,,,,,,"87.6",,,,,,,,,,,,,,,,"87.60",,"3.184",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.28",,,,,,,,,,,,,,,,,,,,,,,,"2.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,"19.9",,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa, for hay (late vegetative, cut 2)","Medicago sativa","MESA","N,P,K","Aboveground biomass","Forage","ton","2000","13.00","3.216","0.37","3.39","2,000",,,,,,,,,,,,,,,,,,"87",,,,,,,,,,,,,,,,"87.00",,"3.216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.37",,,,,,,,,,,,,,,,,,,,,,,,"3.39",,,,,,,,,,,,,,,,,,,,,,,,,,,,"20.1",,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa, for hay (late vegetative, cut 3)","Medicago sativa","MESA","N,P","Aboveground biomass","Forage","ton","2000","14.00","3.056","0.22","#DIV/0!","2,000",,,,,,,,,,,,,,,,,,"86",,,,,,,,,,,,,,,,"86.00",,"3.056",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19.1",,,,,,,,,,,,,,,,,,,,,,,,,,
"Alfalfa, for seed","Medicago sativa","MESA","N","Seed","Forage","cwt","100","11.70","6.014795017","#DIV/0!","#DIV/0!","100",,,,,,,,,,,,,,,,"88.30","88.30",,,,,,,,,,,,,,,,,"88.30","6.016",,,,,,,,,,,"6.013590034",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37.60",,,,,,,,,,,,,,,,,,"5.31",,,,,,,,,
"Alfalfa, for silage (tenth bloom, cut 2)","Medicago sativa","MESA","N,P,K","Aboveground biomass","Forage","ton","2000","75.90","3.34","0.38","2.88","2,000",,,,,,,,,,,,,,,,,,,,,,,,,"24.1",,,,,,,,,"24.10",,,,,,,,,,,,,,"3.34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.38",,,,,,,,,,,,,,,,,,,,,,"2.88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Almonds (without shell)","Prunus dulcis","PRDU","N,P,K","Seed","Tree and fruit","lb of seed","1","4.42","3.3396107972","0.54404687173","0.76585059636","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"95.58",,"95.58",,,,,,,,,"3.3396107972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.54404687173",,,,,,,,,,,,,,,,,,,,,,,,"0.76585059636",,,,,,,,,,,,,,,,,,,,,,"4.42",,,,,,,,,,,,,,,,,"19.95",,,,,,"0.52",,,,,"0.732",
"Alomond (with shell)","Prunus dulcis","PRDU","N","Fruit","Tree and fruit","lb of fruit","1","15.00","3.3","#DIV/0!","#DIV/0!","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"85",,,,,,,"85.00",,,,,,,,,,,,,"3.3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Apple","Malus sp.","MALUS","N,P,K","Fruit","Tree and fruit","lb of fruit ","1","81.78","0.33879309272","0.051779713752","0.74780958307","48",,,,,,,,,,,,,,,,,"17.9","20.9",,,,,,,,,"18",,,,"16.07",,,"18.22","0.448","0.368",,,,,,"0.18917237088",,,,,"0.35",,,,,,,,,,,,,,,,,,,,,,"0.06",,,"0.043559427505",,,,,,,,,,,,,,,,,,,,,"0.78",,,"0.71561916615",,,,,,,,,,,,,,,,,,"82",,,,"83.93",,,"2.8","2.3",,,,,,,,,,,,,"0.19",,,,,,"0.007",,,,,"0.115",,
"Apricot","Prunus armeniaca","PRAR3","N,P,K","Fruit","Tree and fruit","lb of fruit ","1","86.35","1.641025641","0.13919413919","2.1684981685","24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13.65",,,"13.65",,,,,,,,"1.641025641",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.13919413919",,,,,,,,,,,,,,,,,,,,,,,,"2.1684981685",,,,,,,,,,,,,,,,,,,,,,"86.35",,,,,,,,,,,,,,,,,"1.4",,,,,,"0.019",,,,,"0.296",,
"Artichoke-Globe, for bud","Cynara scolymus","CYSC2","N,P,K","Bud","Vegetable","lb of fruit ","1","83.00","2.5411764706","0.50941176471","2","23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17.00","17.00",,,,,,,,,,"2.5411764706",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.45882352941",,"0.56",,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,"83",,,,,,,,,,,,,,,,,"2.7",,,,,,"0.078",,,,,"0.34"
"Artichoke-Jerusalum, for tuber","Helianthus tuberosus","HETU","N,P,K","Tuber","Vegetable","lb of tuber","1","80.07","1.52","0.30333333333","2.0166666667","10",,,,,,,,,,,,,,,,,"20.5","19.3","20",,,,,,,,,,,,,,,"19.93","1.568","1.44","1.552",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.29","0.32","0.3",,,,,,,,,,,,,,,,,,,,,,"2","2","2.05",,,,,,,,,,,,,,,,,,,,,,,,,,"9.8","9","9.7",,,,,,,,,,,,,,,,,,,,,,,,,
"Asparagus-Green, for shoot or spear (immature)","Asparagus officinalis","ASOF","N,P","Shoot (immature)","Vegetable","lb of stem ","1","92.00","5.55","0.69","#DIV/0!","30",,,,,,,,,,,,,,,,,,,,,,,,,,,"8",,,,,,"8.00","8.00",,,,,,,,,,"5.6",,,"5.5",,,,,,,,,,,,,,,,,,,,,,,,,,,"0.65",,"0.73",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"92",,,,,,"92",,,,,,,,,,,,,,,,,"2.8",,,,,,"0.052",,,,,
"Asparagus-White, for shoot or spear (immature)","Asparagus officinalis","ASOF","N,P","Shoot (immature)","Vegetable","lb of stem ","1","93.00","4.3428571429","0.74285714286","#DIV/0!","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7.00","7.00",,,,,,,,,,"4.3428571429",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.74285714286",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"93",,,,,,,,,,,,,,,,,"1.9",,,,,,"0.052",,,,,
"Avocado (all varieties)","Persea americana","PEAM3","N,P,K","Fruit","Tree and fruit","lb of fruit ","1","74.27","1.2312475709","0.15934706568","2.3280217645","55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25.73",,,"25.73",,,,,,,,"1.2312475709",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.15934706568",,,,,,,,,,,,,,,,,,,,,,,,"2.3280217645",,,,,,,,,,,,,,,,,,,,,,"74.27",,,,,,,,,,,,,,,,,"1.98",,,,,,"0.041",,,,,"0.599",,
"Avocado (Florida)","Persea americana","PEAM3","N,P,K","Fruit","Tree and fruit","lb of fruit ","1","79.73","1.2550567341","0.19240256537","2.4074987667","55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20.27",,,"20.27",,,,,,,,"1.2550567341",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.19240256537",,,,,,,,,,,,,,,,,,,,,,,,"2.4074987667",,,,,,,,,,,,,,,,,,,,,,"79.73",,,,,,,,,,,,,,,,,"1.59",,,,,,"0.039",,,,,"0.488",,
"Avocadoe (California)","Persea americana","PEAM3","N,P,K","Fruit","Tree and fruit","lb of fruit ","1","72.56","1.2303206997","0.15306122449","2.3104956268","55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27.44",,,"27.44",,,,,,,,"1.2303206997",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.15306122449",,,,,,,,,,,,,,,,,,,,,,,,"2.3104956268",,,,,,,,,,,,,,,,,,,,,,"72.56",,,,,,,,,,,,,,,,,"2.11",,,,,,"0.042",,,,,"0.634",,
"Bahiagrass, for green chop","Paspalum notatum","PANO2","N,P,K","Aboveground biomass","Forage","ton","2000","69.70","1.3226666667","0.17333333333","2.055","2,000",,,,,,,,,,,,,,,,,"30.3","30.6","30",,,,,,,,,,,,,,,"30.30","1.328","1.216","1.424",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.13","0.17","0.22",,,,,,,,,,,,,,,,,,,,,,,"2.66","1.45",,,,,,,,,,,,,,,,,,,,,,,,,,"8.3","7.6","8.9",,,,,,,,,,,,,,,,,,,,,,,,,
"Bahiagrass, for hay","Paspalum notatum","PANO2","N,P","Aboveground biomass","Forage","ton","2000","9.83","1.52","0.2","#DIV/0!","2,000",,,,,,,,,,,,,,,,,"89.9","90.6","90",,,,,,,,,,,,,,,"90.17",,,"1.52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.22","0.16","0.22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9.5",,,,,,,,,,,,,,,,,,,,,,,,,
"Bahiagrass, for hay (mature)","Paspalum notatum","PANO2","N","Fruit","Forage","ton","2000","9.10","0.752","#DIV/0!","#DIV/0!","2,000",,,,,,,,,,,,,,,,,"90.8",,"91",,,,,,,,,,,,,,,"90.90","0.752",,"0.752",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.7",,"4.7",,,,,,,,,,,,,,,,,,,,,,,,,
"Banana","Musa sp.","MUSA2","N,P,K","Fruit","Tree and fruit","lb of fruit ","1","74.26","0.64024864025","0.0777000777","1.5384615385","40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25.74",,,"25.74",,,,,,,,"0.64024864025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.0777000777",,,,,,,,,,,,,,,,,,,,,,,,"1.5384615385",,,,,,,,,,,,,,,,,,,,,,"74.26",,,,,,,,,,,,,,,,,"1.03",,,,,,"0.02",,,,,"0.396",,
"Barley-2 row, for grain","Hordeum vulgare","HOVU","N,P,K","Floret","Cereal and oil","bu","48","13.30","2.32","0.35","0.49","48",,,,,,,,,,,,,,,,,,"86.70",,,,,,,,,,,,,,,,"86.70",,"2.32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.35",,,,,,,,,,,,,,,,,,,,,,,,"0.49",,,,,,,,,,,,,,,,,,,,,,,,,,,,"14.50",,,,,,,,,,,,,,,,,,,,,,,,,,
"Barley-2 row, for straw","Hordeum vulgare","HOVU","N,P,K","Straw","Cereal and oil","lb straw/bu grain","72","9.20","0.688","0.08","2.11",,"72",,,,,,,,,,,,,,,"90.00",,"91.60",,,,,,,,,,,,,,,,"90.80",,"0.688",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.08",,,,,,,,,,,,,,,,,,,,,,,,"2.11",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.30",,,,,,,,,,,,,,,,,,,,,,,,,,
"Barley-6 row, for grain (excluding Pacific Coast)","Hordeum vulgare","HOVU","N,P,K","Floret","Cereal and oil","bu","48","11.72","2.1093387025","0.41935682327","0.5370246085","48",,,,,,,,,,,,,,,,"89.40","89.00","89.00","88.00",,,,,,,,"86",,,,,,,"88.28","2.08","1.984","2.112",,,,,,,,,"2.2706935123","2.10",,,,,,,,,,,,,,,,,,,,,"0.44742729306","0.45","0.39","0.39",,,,,,,,,,,,,,,,,,,,,"0.548098434","0.55","0.53","0.52",,,,,,,,,,,,,,,,,,,"14.00",,,,,,,"13.00","12.40","13.20",,,,,,,,,,,,,,,,"2.03","0.4",,,,,"0.49",,,
"Barley-6 row, for grain (Pacific coast only)","Hordeum vulgare","HOVU","N,P,K","Floret","Cereal and oil","bu","48","10.77","1.6140541342","0.37569150908","0.58","48",,,,,,,,,,,,,,,,"89.90","88.80",,"89.00",,,,,,,,,,,,,,,"89.23","1.568",,"1.728",,,,,,,,,"1.5461624027",,,,,,,,,,,,,,,,,,,,,,"0.36707452725","0.37",,"0.39",,,,,,,,,,,,,,,,,,,,,,,,"0.58",,,,,,,,,,,,,,,,,,,,,,,,,,"9.80",,"10.80",,,,,,,,,,,,,,,,"1.39","0.33",,,,,,,,
"Barley-6 row, for green chop (boot)","Hordeum vulgare","HOVU","N,P,K","Aboveground biomass","Forage","ton","2000","79.65","2.2046486486","0.37018018018","1.5782882883","2,000",,,,,,,,,,,,,,,,"22.2",,"18.5",,,,,,,,,,,,,,,,"20.35",,,,,"2.112",,,,,,,"2.2972972973",,,,,,,,,,,,,,,,,,,,,,"0.36036036036",,"0.38",,,,,,,,,,,,,,,,,,,,,,"1.5765765766",,"1.58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13.2",,,,,,,,,,,,,,"0.51","0.08",,,,,"0.35",,,
"Barley-6 row, for hay","Hordeum vulgare","HOVU","N,P,K","Aboveground biomass","Forage","ton","2000","11.28","1.4181365639","0.26082599119","1.4891960352","2,000",,,,,,,,,,,,,,,,"90.8","87.7","88.4","88",,,,,,,,,,,,,,,"88.73","1.392","1.584","1.408",,,,,,,,,"1.2885462555",,,,,,,,,,,,,,,,,,,,,,"0.25330396476","0.25","0.26","0.28",,,,,,,,,,,,,,,,,,,,,"1.486784141","1.49","1.51","1.47",,,,,,,,,,,,,,,,,,,,,,,,,,"8.7","9.9","8.8",,,,,,,,,,,,,,,,"1.17","0.23",,,,,"1.35",,,
"Barley-6 row, for straw","Hordeum vulgare","HOVU","N,P,K","Straw","Cereal and oil","lb straw/bu grain","72","11.25","0.68604724165","0.095555555556","1.7938888889",,"72",,,,,,,,,,,,,,,"90.00","84.10","91.60","91.00",,,,,,,,"90","85.8",,,,,,"88.75","0.704","0.688",,,,,,,,,"0.65268065268","0.65555555556","0.73",,,,,,,,,,,,,,,,,,,,,"0.11111111111",,"0.08",,,,,,,,,,,,,,,,,,,,,,"1.4777777778",,"2.11",,,,,,,,,,,,,,,,,,,,"10.00","14.20",,,,,,"4.40","4.30",,,,,,,,,,,,,,,,"3.50","0.59","0.1",,,,,"1.33",,,
"Bean, for seed (dry)","Phaseolus sp.","PHASE","N,P,K","Seed","Vegetable","cwt","100","11.40","4.224","0.54","2.69","100",,,,,,,,,,,,,,,,,,"88.6",,,,,,,,,,,,,,,,"88.60",,"4.224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.54",,,,,,,,,,,,,,,,,,,,,,,,"2.69",,,,,,,,,,,,,,,,,,,,,,,,,,,,"26.4",,,,,,,,,,,,,,,,,,,,,,,,,,
"Bean-Faba, for pod with seeds (immature)","Vicia faba","VIFA","N,P,K","Fruit","Vegetable","lb of fruit","1","81.00","4.7157894737","0.5","1.3157894737","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19.00","19.00",,,,,,,,,,"4.7157894737",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.5",,,,,,,,,,,,,,,,,,,,,,,,"1.3157894737",,,,,,,,,,,,,,,,,,,,,,"81",,,,,,,,,,,,,,,,,"5.6",,,,,,"0.095",,,,,"0.25"
"Bean-Kidney, for seed","Phaseolus vulgaris","PHVU","N,P,K","Seed","Vegetable","cwt","100","10.75","3.9857078652","0.44333333333","1.0666666667","100",,,,,,,,,,,,,,,,"89.00","88.80","90.20","89.00",,,,,,,,,,,,,,,"89.25","3.952","3.904","3.952",,,,,,,,,"4.1348314607",,,,,,,,,,,,,,,,,,,,,,,"0.45","0.39","0.49",,,,,,,,,,,,,,,,,,,,,,"1.10","1.05","1.05",,,,,,,,,,,,,,,,,,,,,,,,,,"24.70","24.40","24.70",,,,,,,,,,,,,,,,"3.68",,,,,,,,,
"Bean-Kidney, for straw","Phaseolus vulgaris","PHVU","N,P,K","Straw","Vegetable","lb straw/cwt grain","76.14","12.30","1.2749719416","0.15196782641","1.5949270483",,,,,,,,,,,"67.37","75.28","76.25","74.88","86.92",,"89.10","85.70","87.00","89.00",,,,,,,,,,,,,,,"87.70","1.584","1.136","1.28",,,,,,,,,"1.0998877666",,,,,,,,,,,,,,,,,,,,,,"0.14590347924",,"0.17","0.14",,,,,,,,,,,,,,,,,,,,,"1.1447811448",,"2.50","1.14",,,,,,,,,,,,,,,,,,,,,,,,,,"9.90","7.10","8.00",,,,,,,,,,,,,,,,"0.98","0.13",,,,,"1.02",,,
"Bean-Lima(baby), for pod with seeds","Phaseolus lunatus","PHLU2","N,P","Fruit","Vegetable","lb of fruit","1","69.00","3.664516129","0.56451612903","#DIV/0!","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31.00","31.00",,,,,,,,,,"3.664516129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.56451612903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"69",,,,,,,,,,,,,,,,,"7.1",,,,,,"0.175",,,,,
"Bean-Lima, for pod with seeds","Phaseolus lunatus","PHLU2","N,P,K","Fruit","Vegetable","lb of fruit","1","71.00","3.475862069","0.5","0.89655172414","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29.00","29.00",,,,,,,,,,"3.475862069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.5",,,,,,,,,,,,,,,,,,,,,,,,"0.89655172414",,,,,,,,,,,,,,,,,,,,,,"71",,,,,,,,,,,,,,,,,"6.3",,,,,,"0.145",,,,,"0.26"
"Bean-Lima, for seed","Phaseolus lunatus","PHLU2","N,P,K","Seed","Vegetable","cwt","100","9.98","3.594547486","0.40805865922","1.8548603352","100",,,,,,,,,,,,,,,,"89.50","89.60","91.00","90.00",,,,,,,,,,,,,,,"90.03","3.312","3.616","3.696",,,,,,,,,"3.7541899441",,,,,,,,,,,,,,,,,,,,,,"0.40223463687","0.42","0.39","0.42",,,,,,,,,,,,,,,,,,,,,"1.8994413408","1.80","1.92","1.80",,,,,,,,,,,,,,,,,,,,,,,,,,"20.70","22.60","23.10",,,,,,,,,,,,,,,,"3.36","0.36",,,,,"1.7",,,
"Bean-Lima, for straw","Phaseolus lunatus","PHLU2","N,P,K","Straw","Vegetable","ton","2000","10.95","1.1986292555","0.14295173962","1.1423905724","2,000",,,,,,,,,,,,,,,,"89.10",,,"89.00",,,,,,,,,,,,,,,"89.05","1.216",,"1.28",,,,,,,,,"1.0998877666",,,,,,,,,,,,,,,,,,,,,,"0.14590347924",,,"0.14",,,,,,,,,,,,,,,,,,,,,"1.1447811448",,,"1.14",,,,,,,,,,,,,,,,,,,,,,,,,,"7.60",,"8.00",,,,,,,,,,,,,,,,"0.98","0.13",,,,,"1.02",,,
"Bean-Navy, for seed","Phaseolus vulgaris","PHVU","N,P,K","Seed","Vegetable","cwt","100","10.38","4.0286666667","0.60833333333","1.4327777778","100",,,,,,,,,,,,,,,,"90.00","89.70","89.80","89.00",,,,,,,,,,,,,,,"89.63","4.048","4.048","3.952",,,,,,,,,"4.0666666667",,,,,,,,,,,,,,,,,,,,,,"0.63333333333","0.58","0.61","0.61",,,,,,,,,,,,,,,,,,,,,"1.4111111111","1.38","1.47","1.47",,,,,,,,,,,,,,,,,,,,,,,,,,"25.30","25.30","24.70",,,,,,,,,,,,,,,,"3.66","0.57",,,,,"1.27",,,
"Bean-Navy, for straw","Phaseolus vulgaris","PHVU","N,P,K","Straw","Vegetable","lb straw/cwt grain","76.14","10.93","1.1559625889","0.14530115975","1.1415937149",,,,,,,,,,,"67.37","75.28","76.25","74.88","86.92",,"89.10",,"89.10","89.00",,,,,,,,,,,,,,,"89.07",,"1.088","1.28",,,,,,,,,"1.0998877666",,,,,,,,,,,,,,,,,,,,,,"0.14590347924",,"0.15","0.14",,,,,,,,,,,,,,,,,,,,,"1.1447811448",,"1.14","1.14",,,,,,,,,,,,,,,,,,,,,,,,,,,"6.80","8.00",,,,,,,,,,,,,,,,"0.98","0.13",,,,,"1.02",,,
"Bean-Snap for seed (dry)","Phaseolus vulgaris","PHVU","N","Seed","Vegetable","cwt","100","10.00","4","#DIV/0!","#DIV/0!","100",,,,,,,,,,,,,,,,,,,,,,,,,,,"90",,,,,,,"90.00",,,,,,,,,,,,,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
